Column1,Date, Close _Price,Trading_Volume, Open_Price, High _Price, Low_Price 
0,2024-07-03,2369.40,185930,2338.60,2374.50,2335.70
1,2024-07-02,2333.40,146568,2341.60,2346.10,2327.40
2,2024-07-01,2338.90,136861,2336.20,2348.80,2328.20
3,2024-06-28,2339.60,131191,2338.60,2350.60,2329.70
4,2024-06-27,2336.60,135784,2309.40,2342.00,2306.80
5,2024-06-26,2313.20,182929,2331.80,2335.80,2304.70
6,2024-06-25,2330.80,140179,2346.80,2349.70,2327.10
7,2024-06-24,2344.40,113448,2333.50,2347.50,2329.50
8,2024-06-21,2331.20,187501,2373.80,2382.60,2329.20
9,2024-06-20,2369.00,245146,2344.20,2379.50,2338.50
10,2024-06-18,2346.90,150209,2333.70,2348.20,2320.20
11,2024-06-17,2329.00,118761,2348.50,2348.70,2324.30
12,2024-06-14,2349.10,155486,2319.60,2352.30,2316.70
13,2024-06-13,2318.00,177184,2340.90,2342.40,2310.90
14,2024-06-12,2354.80,232497,2334.00,2358.80,2327.20
15,2024-06-11,2326.60,142203,2329.50,2337.30,2314.50
16,2024-06-10,2327.00,137332,2311.00,2331.30,2304.50
17,2024-06-07,2325.00,299274,2395.70,2406.70,2304.20
18,2024-06-06,2390.90,163317,2375.30,2397.80,2372.20
19,2024-06-05,2375.50,167661,2347.10,2377.60,2345.30
20,2024-06-04,2347.40,165859,2371.30,2373.10,2335.10
21,2024-06-03,2369.30,166789,2348.00,2375.50,2334.80
22,2024-05-31,2345.80,175833,2364.50,2381.20,2341.10
23,2024-05-30,2366.50,179642,2361.00,2373.70,2343.30
24,2024-05-29,2341.20,114728,2362.50,2363.70,2334.20
25,2024-05-28,2356.50,308914,2338.00,2365.50,2333.80
26,2024-05-24,2334.50,171919,2330.40,2349.00,2326.30
27,2024-05-23,2337.20,263098,2383.00,2385.70,2328.10
28,2024-05-22,2392.90,246229,2425.40,2430.50,2378.00
29,2024-05-21,2425.90,225980,2431.50,2438.20,2408.50
30,2024-05-20,2438.50,276267,2422.20,2454.20,2411.10
31,2024-05-17,2417.40,209395,2381.40,2427.40,2377.80
32,2024-05-16,2385.50,183138,2391.50,2402.70,2375.20
33,2024-05-15,2394.90,245081,2362.90,2396.10,2357.10
34,2024-05-14,2359.90,184159,2342.30,2365.20,2340.50
35,2024-05-13,2343.00,221846,2369.10,2370.80,2337.60
36,2024-05-10,2375.00,245997,2353.50,2385.30,2352.00
37,2024-05-09,2340.30,226529,2316.50,2354.20,2312.90
38,2024-05-08,2322.30,196159,2322.00,2329.60,2311.40
39,2024-05-07,2324.20,186868,2334.80,2338.70,2318.20
40,2024-05-06,2331.20,188984,2312.80,2341.90,2300.60
41,2024-05-03,2308.60,226187,2313.50,2330.70,2285.20
42,2024-05-02,2309.60,181818,2329.90,2336.10,2294.30
43,2024-05-01,2311.00,215271,2298.20,2339.50,2291.70
44,2024-04-30,2302.90,221866,2347.00,2347.60,2296.20
45,2024-04-29,2357.70,179984,2347.60,2358.90,2331.00
46,2024-04-26,2347.20,163124,2344.20,2364.40,2338.00
47,2024-04-25,2342.50,218190,2327.40,2357.60,2316.40
48,2024-04-24,2338.40,178250,2335.70,2350.90,2324.80
49,2024-04-23,2342.10,261999,2342.30,2347.90,2304.60
50,2024-04-22,2346.40,256123,2403.70,2404.30,2338.20
51,2024-04-19,2413.80,264374,2394.00,2433.30,2386.80
52,2024-04-18,2398.00,195493,2377.90,2408.00,2377.20
53,2024-04-17,2388.40,279551,2398.00,2412.00,2370.70
54,2024-04-16,2407.80,290700,2399.10,2414.80,2379.20
55,2024-04-15,2383.00,336608,2369.40,2404.30,2340.20
56,2024-04-12,2374.10,463075,2389.40,2448.80,2350.60
57,2024-04-11,2372.70,247444,2351.70,2395.60,2343.10
58,2024-04-10,2348.40,342343,2372.40,2378.10,2337.10
59,2024-04-09,2362.40,270153,2358.10,2384.50,2355.70
60,2024-04-08,2351.00,276104,2343.60,2372.50,2321.70
61,2024-04-05,2345.40,281439,2309.50,2350.00,2286.20
62,2024-04-04,2308.50,227956,2321.00,2325.30,2298.70
63,2024-04-03,2315.00,245709,2301.70,2321.80,2285.70
64,2024-04-02,2281.80,266558,2272.70,2301.90,2267.10
65,2024-04-01,2257.10,214706,2259.20,2286.40,2249.10
66,2024-03-28,2238.40,240035,2215.70,2256.90,2207.50
67,2024-03-27,2212.70,183343,2200.50,2218.30,2193.70
68,2024-03-26,2177.20,197985,2173.00,2200.60,2168.30
69,2024-03-25,2176.40,201700,2166.60,2182.50,2164.40
70,2024-03-22,2160.00,200525,2183.40,2188.00,2158.40
71,2024-03-21,2184.70,378441,2190.20,2225.30,2168.20
72,2024-03-20,2161.00,226302,2161.40,2192.20,2152.30
73,2024-03-19,2159.70,170802,2164.00,2166.30,2150.20
74,2024-03-18,2164.30,207164,2159.90,2167.20,2149.20
75,2024-03-15,2161.50,182912,2166.20,2176.90,2158.70
76,2024-03-14,2167.50,202253,2179.50,2181.30,2157.00
77,2024-03-13,2180.80,207753,2163.60,2185.60,2161.30
78,2024-03-12,2166.10,291892,2189.10,2190.80,2156.20
79,2024-03-11,2188.60,216026,2187.60,2195.50,2180.90
80,2024-03-08,2185.50,355568,2166.60,2203.00,2161.20
81,2024-03-07,2165.20,237353,2156.70,2172.20,2151.70
82,2024-03-06,2158.20,305992,2136.40,2160.70,2131.90
83,2024-03-05,2141.90,272144,2123.30,2150.50,2118.50
84,2024-03-04,2126.30,310812,2091.60,2128.40,2088.10
85,2024-03-01,2095.70,315978,2052.80,2097.10,2047.00
86,2024-02-29,2054.70,218122,2043.80,2059.40,2036.00
87,2024-02-28,2042.70,132119,2039.70,2047.40,2033.40
88,2024-02-27,2044.10,142302,2041.20,2049.10,2038.10
89,2024-02-26,2038.90,124720,2044.20,2046.80,2034.10
90,2024-02-23,2049.40,201845,2034.10,2053.20,2025.40
91,2024-02-22,2030.70,144525,2036.50,2045.50,2029.30
92,2024-02-21,2034.30,117615,2036.20,2043.50,2030.90
93,2024-02-20,2039.80,196210,2027.70,2042.70,2023.90
94,2024-02-16,2024.10,155539,2016.10,2027.20,2006.60
95,2024-02-15,2014.90,197716,2004.80,2020.20,2001.80
96,2024-02-14,2004.30,184484,2006.30,2008.80,1996.40
97,2024-02-13,2007.20,201369,2033.70,2047.30,2002.80
98,2024-02-12,2033.00,111785,2038.20,2041.80,2025.40
99,2024-02-09,2038.70,109127,2049.70,2051.90,2034.30
100,2024-02-08,2047.90,133305,2051.00,2053.80,2034.60
101,2024-02-07,2051.70,120686,2052.60,2061.30,2046.40
102,2024-02-06,2051.40,121742,2041.40,2055.30,2038.80
103,2024-02-05,2042.90,163475,2057.90,2059.10,2030.80
104,2024-02-02,2053.70,210878,2072.00,2074.70,2044.20
105,2024-02-01,2071.10,253121,2057.90,2083.20,2046.40
106,2024-01-31,2067.40,225828,2055.30,2074.60,2048.80
107,2024-01-30,2050.90,208357,2051.50,2068.00,2047.10
108,2024-01-29,2025.40,147894,2024.40,2037.20,2018.80
109,2024-01-26,2017.30,117654,2021.00,2028.10,2015.60
110,2024-01-25,2017.80,189239,2014.80,2025.60,2004.00
111,2024-01-24,2016.00,227627,2030.70,2037.90,2011.70
112,2024-01-23,2025.80,153827,2023.20,2039.30,2020.80
113,2024-01-22,2022.20,141963,2031.80,2034.10,2017.40
114,2024-01-19,2029.30,166078,2027.40,2041.90,2022.20
115,2024-01-18,2021.60,167013,2009.10,2025.60,2007.70
116,2024-01-17,2006.50,245194,2031.70,2036.10,2004.60
117,2024-01-16,2030.20,277995,2053.40,2062.80,2027.60
118,2024-01-12,2051.60,250946,2033.20,2067.30,2033.10
119,2024-01-11,2019.20,270624,2029.40,2056.10,2017.30
120,2024-01-10,2027.80,183625,2036.00,2046.20,2025.90
121,2024-01-09,2033.00,194610,2034.50,2048.60,2031.90
122,2024-01-08,2033.50,199325,2052.60,2053.30,2022.70
123,2024-01-05,2049.80,208861,2051.40,2071.10,2030.80
124,2024-01-04,2050.00,125573,2049.30,2058.10,2043.30
125,2024-01-03,2042.80,214132,2067.90,2074.30,2038.30
126,2024-01-02,2073.40,149926,2072.70,2088.10,2064.30
127,2023-12-29,2071.80,102741,2076.10,2084.10,2067.60
128,2023-12-28,2083.50,126411,2089.50,2098.20,2074.60
129,2023-12-27,2093.10,124021,2079.30,2095.80,2072.80
130,2023-12-26,2069.80,76492,2066.00,2080.50,2065.10
131,2023-12-22,2069.10,162292,2061.20,2083.00,2058.20
132,2023-12-21,2051.30,115184,2044.40,2058.00,2043.30
133,2023-12-20,2047.70,119394,2053.80,2056.90,2040.60
134,2023-12-19,2052.10,130031,2041.10,2061.00,2034.80
135,2023-12-18,2040.50,137436,2033.30,2048.00,2029.50
136,2023-12-15,2035.70,166565,2051.30,2059.60,2029.20
137,2023-12-14,2044.90,222776,2043.20,2062.90,2039.10
138,2023-12-13,1997.30,183780,1995.10,2043.30,1987.90
139,2023-12-12,1993.20,140257,1997.80,2012.50,1992.30
140,2023-12-11,1993.70,151409,2020.00,2023.70,1991.20
141,2023-12-08,2014.50,227831,2045.70,2050.40,2010.60
142,2023-12-07,2046.40,165566,2043.40,2057.20,2036.60
143,2023-12-06,2047.90,150192,2037.80,2053.40,2035.30
144,2023-12-05,2036.30,202003,2049.00,2059.60,2027.60
145,2023-12-04,2042.20,368688,2094.40,2092.80,2038.40
146,2023-12-01,2089.70,230877,2056.50,2095.70,2052.60
147,2023-11-30,2057.20,143605,2065.40,2067.40,2051.20
148,2023-11-29,2067.10,189494,2062.00,2072.70,2055.90
149,2023-11-28,2040.00,172968,2014.30,2044.10,2011.50
150,2023-11-27,2012.40,247411,2002.50,2018.90,2001.40
151,2023-11-24,2003.00,211252,1991.20,2004.50,1990.90
152,2023-11-22,1992.80,194093,2000.30,2008.30,1988.60
153,2023-11-21,2001.60,223873,1980.00,2009.80,1979.90
154,2023-11-20,1980.30,172046,1980.90,1987.80,1967.20
155,2023-11-17,1984.70,129520,1984.20,1983.60,1982.50
156,2023-11-16,1987.30,182935,1963.00,1984.50,1983.90
157,2023-11-15,1964.30,138956,1966.90,1979.20,1958.80
158,2023-11-14,1966.50,174844,1950.30,1975.30,1938.80
159,2023-11-13,1950.20,164985,1943.40,1953.50,1935.60
160,2023-11-10,1937.70,210158,1964.10,1965.60,1936.90
161,2023-11-09,1969.80,185574,1955.50,1971.50,1948.30
162,2023-11-08,1957.80,170367,1975.30,1977.50,1953.20
163,2023-11-07,1973.50,200482,1984.80,1985.20,1962.80
164,2023-11-06,1988.60,142515,1999.40,1991.50,1984.20
165,2023-11-03,1999.20,211154,1993.50,2011.90,1989.30
166,2023-11-02,1993.50,150476,1992.00,1999.20,1986.30
167,2023-11-01,1987.50,190094,1993.30,2005.90,1978.20
168,2023-10-31,1994.30,205951,2005.60,2017.70,1987.40
169,2023-10-30,2005.60,177834,2013.50,2012.40,1999.70
170,2023-10-27,1998.50,206932,1995.00,2019.70,1986.40
171,2023-10-26,1997.40,208597,1991.20,2003.70,1981.60
172,2023-10-25,1994.90,235699,1982.70,1998.60,1973.60
173,2023-10-24,1986.10,191586,1984.10,1989.00,1970.00
174,2023-10-23,1987.80,204959,1987.70,1990.90,1982.60
175,2023-10-20,1994.40,279162,1988.00,2009.20,1983.70
176,2023-10-19,1980.50,253690,1960.10,1990.20,1957.00
177,2023-10-18,1968.30,261064,1936.70,1975.80,1935.90
178,2023-10-17,1935.70,159430,1933.30,1944.50,1924.60
179,2023-10-16,1934.30,174742,1941.30,1943.00,1921.20
180,2023-10-13,1941.50,298561,1881.70,1946.20,1881.50
181,2023-10-12,1883.00,158089,1888.10,1898.30,1880.60
182,2023-10-11,1887.30,162914,1873.70,1890.90,1871.70
183,2023-10-10,1875.30,152865,1875.40,1879.10,1866.10
184,2023-10-09,1864.30,183451,1861.00,1877.30,1857.50
185,2023-10-06,1845.20,224544,1834.30,1849.00,1823.50
186,2023-10-05,1831.80,163680,1837.60,1843.50,1826.20
187,2023-10-04,1834.80,187267,1838.70,1846.80,1831.60
188,2023-10-03,1841.50,208110,1844.90,1849.30,1830.90
189,2023-10-02,1847.20,191599,1864.40,1864.70,1842.70
190,2023-09-29,1866.10,234756,1882.30,1896.70,1862.30
191,2023-09-28,1878.60,217353,1893.30,1896.80,1874.50
192,2023-09-27,1890.90,221139,1918.80,1921.70,1890.30
193,2023-09-26,1919.80,202105,1935.10,1935.50,1917.20
194,2023-09-25,1936.60,155517,1944.70,1946.80,1933.80
195,2023-09-22,1945.60,135193,1939.60,1949.10,1939.60
196,2023-09-21,1939.60,218211,1952.00,1952.20,1933.10
197,2023-09-20,1967.10,212731,1953.00,1968.90,1948.60
198,2023-09-19,1953.70,126871,1955.30,1958.90,1950.90
199,2023-09-18,1953.40,134529,1945.70,1955.70,1943.80
200,2023-09-15,1946.20,195342,1932.50,1952.40,1931.20
201,2023-09-14,1932.80,196220,1930.70,1934.50,1921.70
202,2023-09-13,1932.50,156209,1935.20,1938.40,1927.20
203,2023-09-12,1935.10,155034,1945.60,1947.50,1929.90
204,2023-09-11,1947.20,128750,1943.30,1947.60,1944.60
205,2023-09-08,1942.70,136235,1943.80,1954.00,1940.80
206,2023-09-07,1942.50,114097,1942.20,1947.90,1940.30
207,2023-09-06,1944.20,145271,1951.50,1954.50,1940.00
208,2023-09-05,1952.60,187935,1966.70,1972.60,1950.60
209,2023-09-01,1967.10,158269,1966.40,1980.20,1960.70
210,2023-08-31,1965.90,125945,1970.20,1974.90,1965.50
211,2023-08-30,1973.00,138398,1966.00,1977.10,1962.80
212,2023-08-29,1965.10,169333,1948.10,1966.50,1941.70
213,2023-08-28,1946.80,113565,1944.00,1954.20,1940.10
214,2023-08-25,1939.90,163733,1944.90,1950.40,1931.00
215,2023-08-24,1947.10,133727,1944.90,1951.30,1939.20
216,2023-08-23,1948.10,162315,1926.80,1949.70,1926.20
217,2023-08-22,1926.00,126226,1924.00,1933.20,1917.50
218,2023-08-21,1923.00,135415,1918.40,1927.90,1913.60
219,2023-08-18,1916.50,110337,1919.20,1926.00,1915.90
220,2023-08-17,1915.20,146770,1922.40,1933.50,1914.20
221,2023-08-16,1928.30,124766,1933.10,1938.20,1922.00
222,2023-08-15,1935.20,161512,1939.40,1944.30,1927.50
223,2023-08-14,1944.00,117514,1945.60,1948.20,1934.20
224,2023-08-11,1946.60,119090,1944.90,1953.60,1942.70
225,2023-08-10,1948.90,163805,1947.70,1963.50,1944.40
226,2023-08-09,1950.60,130739,1959.30,1966.10,1947.20
227,2023-08-08,1959.90,138581,1971.50,1972.80,1956.50
228,2023-08-07,1970.00,101170,1977.60,1981.70,1966.10
229,2023-08-04,1939.60,290,1934.90,1945.00,1920.00
230,2023-08-03,1932.00,773,1934.20,1936.50,1928.00
231,2023-08-02,1937.40,652,1948.40,1953.60,1933.20
232,2023-08-01,1940.70,688,1964.90,1965.40,1940.80
233,2023-07-31,1970.50,1025,1959.20,1971.60,1950.00
234,2023-07-28,1960.40,22705,1945.50,1962.20,1944.20
235,2023-07-27,1945.70,192370,1973.30,1982.60,1941.70
236,2023-07-26,1970.10,204484,1966.30,1979.90,1963.20
237,2023-07-25,1963.70,182563,1957.00,1967.10,1951.60
238,2023-07-24,1962.20,193572,1963.60,1969.80,1955.30
239,2023-07-21,1966.60,152540,1972.10,1975.90,1958.80
240,2023-07-20,1970.90,186560,1980.00,1989.80,1967.70
241,2023-07-19,1980.40,155975,1982.50,1984.60,1973.30
242,2023-07-18,1980.80,256970,1958.30,1988.30,1958.10
243,2023-07-17,1956.40,161963,1958.60,1963.60,1949.00
244,2023-07-14,1964.40,191150,1965.20,1967.80,1954.70
